company,wci_raw,wci_score,avg_rating,n_reviews,wci_rank
Veljan Denison,0.07601852681289255,100.0,3.657142857142857,35,1
Roto Pumps,0.024382399570565615,60.787090043925794,3.7264957264957266,117,2
LTIMindtree,0.016741209248348512,54.98430575190959,3.793223891023402,5726,3
Hero Motocorp,-0.027208006019919097,21.60890149537153,3.823321554770318,283,4
Jay Ushin,-0.03562210264034376,15.219165650349392,3.9403973509933774,151,5
Tata Motors,-0.05566292019057917,0.0,3.8164556962025316,316,6
